77.208502, 28.639268;BlueLine;R K Ashram Marg
77.223582, 28.630689;BlueLine;Barakhamba
77.234724, 28.625816;BlueLine;Mandi House
77.234724, 28.625816;VioletLine;Mandi House
77.242523, 28.62349;BlueLine;Pragati Maidan
77.249991, 28.620504;BlueLine;Indraprastha
77.260113, 28.620999;BlueLine;Yamuna Bank
77.260113, 28.620999;BlueLine;Yamuna Bank
77.279248, 28.618216;BlueLine;Akshardham
77.289328, 28.604743;BlueLine;Mayur Vihar Phase-1
77.289328, 28.604743;PinkLine;Mayur Vihar Phase-1
77.294494, 28.594197;BlueLine;Mayur Vihar Extention
77.30166666666666, 28.5888889;BlueLine;New Ashok Nagar
77.311757, 28.584936;BlueLine;Noida Sector 15
77.317454, 28.578549;BlueLine;Noida Sector 16
77.326112, 28.570813;BlueLine;Noida Sector 18
77.334781, 28.564208;BlueLine;Botanical Garden
77.334781, 28.564208;MagentaLine;Botanical Garden
77.345467, 28.56694;BlueLine;Golf Course
77.3561, 28.5747;BlueLine;Noida City Center
77.221575, 28.642257;AirportExpress;New Delhi-Airport Express
77.211406, 28.628788;AirportExpress;Shivaji Stadium
77.16169, 28.591853;AirportExpress;Dhaula Kuan
77.1208, 28.5491;AirportExpress;Delhi Aero City
77.112222, 28.568611;AirportExpress;IGI Airport
77.058016, 28.552125;AirportExpress;Dwarka Sec-21-Airport
77.155011, 28.671603;GreenLine;Ashok Park Main
77.155011, 28.671603;GreenLine;Ashok Park Main
77.145972, 28.672936;GreenLine;Punjabi Bagh
77.130347, 28.674944;GreenLine;Shivaji Park
77.119561, 28.676361;GreenLine;Madi Pur
77.112272, 28.677294;GreenLine;Paschim Vihar (East)
77.102106, 28.678589;GreenLine;Paschim Vihar (West)
77.09255, 28.679703;GreenLine;Peera Garhi
77.080775, 28.680994;GreenLine;Udyog Nagar
77.073953, 28.681792;GreenLine;Surajmal Stadium
77.064675, 28.682356;GreenLine;Nangloi
77.056083, 28.682106;GreenLine;Nangloi Rly Station
77.043844, 28.6822;GreenLine;Rajdhani Park
77.030219, 28.682442;GreenLine;Mundka
77.017152, 28.683525;GreenLine;Mundka Industrial Area (MIA)
76.996167, 28.685245;GreenLine;Ghevra Metro station
76.977395, 28.686902;GreenLine;Tikri Kalan
76.964168, 28.687978;GreenLine;Tikri Border
76.951029, 28.689279;GreenLine;Pandit Shree Ram Sharma
76.935277, 28.690777;GreenLine;Bahdurgarh City
76.919388, 28.697357;GreenLine;Brig Hoshiar Singh
0.0, 0.0;Rapid;Sector 55-66
0.0, 0.0;Rapid;Sector 54 Chowk
0.0, 0.0;Rapid;Sector 53-54
0.0, 0.0;Rapid;Sector 42-43
0.0, 0.0;Rapid;DLF Phase 1
